state,district,year_month,pincode,bio_age_5_17,bio_age_17_,month,pincode_lag_1,pincode_lag_2,pincode_lag_12,bio_age_5_17_lag_1,bio_age_5_17_lag_2,bio_age_5_17_lag_12,bio_age_17__lag_1,bio_age_17__lag_2,bio_age_17__lag_12,pincode_roll_3,pincode_roll_6,bio_age_5_17_roll_3,bio_age_5_17_roll_6,bio_age_17__roll_3,bio_age_17__roll_6,pincode_growth,bio_age_5_17_growth,bio_age_17__growth
Andaman & Nicobar Islands,Andamans,2025-01-01,14138176,96,923,1.0,,,,,,,,,,,,,,,,,,
Andaman & Nicobar Islands,Andamans,2025-02-01,12649891,15,42,2.0,14138176.0,,,96.0,,,923.0,,,,,,,,,-0.10526711507905973,-0.84375,-0.9544962080173348
Andaman & Nicobar Islands,Andamans,2025-03-01,9673358,21,36,3.0,12649891.0,14138176.0,,15.0,96.0,,42.0,923.0,,12153808.333333334,,44.0,,333.6666666666667,,-0.23530107887886154,0.3999999999999999,-0.1428571428571429
Andaman & Nicobar Islands,Andamans,2025-04-01,7441141,10,20,4.0,9673358.0,12649891.0,,21.0,15.0,,36.0,42.0,,9921463.333333334,,15.333333333333334,,32.666666666666664,,-0.23075926684404735,-0.5238095238095238,-0.4444444444444444
Andaman & Nicobar Islands,Andamans,2025-05-01,12650184,9,28,5.0,7441141.0,9673358.0,,10.0,21.0,,20.0,36.0,,9921561.0,,13.333333333333334,,28.0,,0.7000328309865382,-0.09999999999999998,0.3999999999999999
Andaman & Nicobar Islands,Andamans,2025-06-01,7441054,9,16,6.0,12650184.0,7441141.0,,9.0,10.0,,28.0,20.0,,9177459.666666666,10665634.0,9.333333333333334,26.666666666666668,21.333333333333332,177.5,-0.41178294323624065,0.0,-0.4285714285714286
Andaman & Nicobar Islands,Andamans,2025-07-01,4464619,4,9,7.0,7441054.0,12650184.0,,9.0,9.0,,16.0,28.0,,8185285.666666667,9053374.5,7.333333333333333,11.333333333333334,17.666666666666668,25.166666666666668,-0.4000018008201526,-0.5555555555555556,-0.4375
Andaman & Nicobar Islands,Andamans,2025-08-01,10417656,6,34,8.0,4464619.0,7441054.0,,4.0,9.0,,9.0,16.0,,7441109.666666667,8681335.333333334,6.333333333333333,9.833333333333334,19.666666666666668,23.833333333333332,1.333380743127241,0.5,2.7777777777777777
Andaman & Nicobar Islands,Andamans,2025-09-01,10417579,19,34,9.0,10417656.0,4464619.0,,6.0,4.0,,34.0,9.0,,8433284.666666666,8805372.166666666,9.666666666666666,9.5,25.666666666666668,23.5,-7.3912980040891085e-06,2.1666666666666665,0.0
Andaman & Nicobar Islands,Andamans,2025-10-01,9673363,15,32,10.0,10417579.0,10417656.0,,19.0,6.0,,34.0,34.0,,10169532.666666666,9177409.166666666,13.333333333333334,10.333333333333334,33.333333333333336,25.5,-0.07143847913224366,-0.21052631578947367,-0.05882352941176472
Andaman & Nicobar Islands,Andamans,2025-11-01,11905881,9,38,11.0,9673363.0,10417579.0,,15.0,19.0,,32.0,34.0,,10665607.666666666,9053358.666666666,14.333333333333334,10.333333333333334,34.666666666666664,27.166666666666668,0.23079026394440083,-0.4,0.1875
Andaman & Nicobar Islands,Andamans,2025-12-01,11905685,18,38,12.0,11905881.0,9673363.0,,9.0,15.0,,38.0,32.0,,11161643.0,9797463.833333334,14.0,11.833333333333334,36.0,30.833333333333332,-1.6462452463672506e-05,1.0,0.0
Andaman & Nicobar Islands,Andamans,,142869999,112,422,,11905685.0,11905881.0,14138176.0,18.0,9.0,96.0,38.0,38.0,923.0,55560521.666666664,32865027.166666668,46.333333333333336,29.833333333333332,166.0,99.66666666666667,11.000149424413632,5.222222222222222,10.105263157894736
Andaman & Nicobar Islands,Nicobars,2025-01-01,744301,1,0,1.0,,,,,,,,,,,,,,,,,,
Andaman & Nicobar Islands,Nicobars,2025-02-01,744301,0,1,2.0,744301.0,,,1.0,,,0.0,,,,,,,,,0.0,-1.0,inf
Andaman & Nicobar Islands,South Andaman,2025-01-01,5953038,1,10,1.0,,,,,,,,,,,,,,,,,,
