state,district,year_month,pincode,bio_age_5_17,bio_age_17_
Andaman & Nicobar Islands,Andamans,2025-01,14138176,96,923
Andaman & Nicobar Islands,Andamans,2025-02,12649891,15,42
Andaman & Nicobar Islands,Andamans,2025-03,9673358,21,36
Andaman & Nicobar Islands,Andamans,2025-04,7441141,10,20
Andaman & Nicobar Islands,Andamans,2025-05,12650184,9,28
Andaman & Nicobar Islands,Andamans,2025-06,7441054,9,16
Andaman & Nicobar Islands,Andamans,2025-07,4464619,4,9
Andaman & Nicobar Islands,Andamans,2025-08,10417656,6,34
Andaman & Nicobar Islands,Andamans,2025-09,10417579,19,34
Andaman & Nicobar Islands,Andamans,2025-10,9673363,15,32
Andaman & Nicobar Islands,Andamans,2025-11,11905881,9,38
Andaman & Nicobar Islands,Andamans,2025-12,11905685,18,38
Andaman & Nicobar Islands,Andamans,NaT,142869999,112,422
Andaman & Nicobar Islands,Nicobars,2025-01,744301,1,0
Andaman & Nicobar Islands,Nicobars,2025-02,744301,0,1
Andaman & Nicobar Islands,South Andaman,2025-01,5953038,1,10
Andaman & Nicobar Islands,South Andaman,2025-02,5209034,2,8
Andaman & Nicobar Islands,South Andaman,2025-03,6697044,6,14
Andaman & Nicobar Islands,South Andaman,2025-04,4464623,1,16
Andaman & Nicobar Islands,South Andaman,2025-05,6697245,4,17
Andaman & Nicobar Islands,South Andaman,2025-06,2976620,0,7
Andaman & Nicobar Islands,South Andaman,2025-07,1488210,1,3
Andaman & Nicobar Islands,South Andaman,2025-08,6697250,1,16
Andaman & Nicobar Islands,South Andaman,2025-09,5209034,3,4
Andaman & Nicobar Islands,South Andaman,2025-10,6697250,5,15
Andaman & Nicobar Islands,South Andaman,2025-11,5952941,3,16
Andaman & Nicobar Islands,South Andaman,2025-12,4464634,5,13
Andaman & Nicobar Islands,South Andaman,NaT,78878039,29,167
Andaman And Nicobar Islands,Nicobar,2025-01,19351858,534,513
Andaman And Nicobar Islands,Nicobar,2025-02,6698720,28,33
Andaman And Nicobar Islands,Nicobar,2025-03,5210115,30,19
Andaman And Nicobar Islands,Nicobar,2025-04,5954419,45,13
Andaman And Nicobar Islands,Nicobar,2025-05,5954417,30,10
Andaman And Nicobar Islands,Nicobar,2025-06,5210113,30,13
Andaman And Nicobar Islands,Nicobar,2025-07,2977206,9,5
Andaman And Nicobar Islands,Nicobar,2025-08,7443020,27,24
Andaman And Nicobar Islands,Nicobar,2025-09,5954418,26,14
Andaman And Nicobar Islands,Nicobar,2025-10,6698719,15,20
Andaman And Nicobar Islands,Nicobar,2025-11,4465811,27,19
Andaman And Nicobar Islands,Nicobar,2025-12,6698721,23,8
Andaman And Nicobar Islands,Nicobar,NaT,66987172,168,128
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,32745023,2102,2074
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,16372506,121,40
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,10418869,47,22
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,8930450,54,23
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,10418861,61,20
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,8186253,51,7
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,7442051,27,8
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,8930457,44,22
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,10418873,74,22
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,9674653,87,20
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,12651482,64,32
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,11907267,98,20
Andaman And Nicobar Islands,North And Middle Andaman,NaT,139910411,950,293
Andaman And Nicobar Islands,South Andaman,2025-01,53577595,3733,2563
Andaman And Nicobar Islands,South Andaman,2025-02,21579949,183,43
Andaman And Nicobar Islands,South Andaman,2025-03,20091537,135,38
Andaman And Nicobar Islands,South Andaman,2025-04,18603338,119,36
Andaman And Nicobar Islands,South Andaman,2025-05,20835552,143,30
Andaman And Nicobar Islands,South Andaman,2025-06,14138389,110,26
Andaman And Nicobar Islands,South Andaman,2025-07,10417887,50,15
Andaman And Nicobar Islands,South Andaman,2025-08,20835551,142,45
Andaman And Nicobar Islands,South Andaman,2025-09,19347546,180,43
Andaman And Nicobar Islands,South Andaman,2025-10,15626707,141,37
Andaman And Nicobar Islands,South Andaman,2025-11,21579871,144,48
Andaman And Nicobar Islands,South Andaman,2025-12,21579859,113,55
Andaman And Nicobar Islands,South Andaman,NaT,270120731,1436,512
Andhra Pradesh,Adilabad,2025-01,145722965,6035,20122
Andhra Pradesh,Adilabad,2025-02,71601554,289,1012
Andhra Pradesh,Adilabad,2025-03,60003432,227,785
Andhra Pradesh,Adilabad,2025-04,65045600,356,1071
Andhra Pradesh,Adilabad,2025-05,42859934,148,481
Andhra Pradesh,Adilabad,2025-06,66054598,222,705
Andhra Pradesh,Adilabad,2025-07,29244840,98,304
Andhra Pradesh,Adilabad,2025-08,68071763,290,846
Andhra Pradesh,Adilabad,2025-09,49919115,179,683
Andhra Pradesh,Adilabad,2025-10,56474255,222,656
Andhra Pradesh,Adilabad,2025-11,57481905,206,692
Andhra Pradesh,Adilabad,2025-12,66054315,233,1021
Andhra Pradesh,Adilabad,NaT,875847873,3703,11452
