state,district,year_month,pincode,demo_age_5_17,demo_age_17_
100000,100000,NaT,200000,0,2
Andaman & Nicobar Islands,Andamans,2025-01,11161760,0,33
Andaman & Nicobar Islands,Andamans,2025-02,9673343,0,34
Andaman & Nicobar Islands,Andamans,2025-03,13393870,1,58
Andaman & Nicobar Islands,Andamans,2025-04,14882306,0,66
Andaman & Nicobar Islands,Andamans,2025-05,8185146,1,25
Andaman & Nicobar Islands,Andamans,2025-06,5952930,0,16
Andaman & Nicobar Islands,Andamans,2025-07,8929359,0,21
Andaman & Nicobar Islands,Andamans,2025-08,6697025,0,27
Andaman & Nicobar Islands,Andamans,2025-09,5952845,1,18
Andaman & Nicobar Islands,Andamans,2025-10,8185253,0,23
Andaman & Nicobar Islands,Andamans,2025-11,12650081,0,49
Andaman & Nicobar Islands,Andamans,2025-12,13394288,0,35
Andaman & Nicobar Islands,Andamans,NaT,114593563,4,338
Andaman & Nicobar Islands,Nicobars,2025-03,744301,0,1
Andaman & Nicobar Islands,Nicobars,2025-04,744301,0,1
Andaman & Nicobar Islands,Nicobars,NaT,1488602,0,2
Andaman & Nicobar Islands,South Andaman,2025-01,5953038,0,13
Andaman & Nicobar Islands,South Andaman,2025-02,4464830,0,10
Andaman & Nicobar Islands,South Andaman,2025-03,5208836,1,12
Andaman & Nicobar Islands,South Andaman,2025-04,3720929,0,7
Andaman & Nicobar Islands,South Andaman,2025-05,9673652,0,18
Andaman & Nicobar Islands,South Andaman,2025-06,2976523,0,4
Andaman & Nicobar Islands,South Andaman,2025-07,2976519,0,7
Andaman & Nicobar Islands,South Andaman,2025-08,5952836,0,12
Andaman & Nicobar Islands,South Andaman,2025-09,2232418,0,3
Andaman & Nicobar Islands,South Andaman,2025-10,7441448,0,17
Andaman & Nicobar Islands,South Andaman,2025-11,11906177,0,24
Andaman & Nicobar Islands,South Andaman,2025-12,3720827,0,8
Andaman & Nicobar Islands,South Andaman,NaT,78877714,5,164
Andaman And Nicobar Islands,Nicobar,2025-01,6698715,33,386
Andaman And Nicobar Islands,Nicobar,2025-02,4465815,2,27
Andaman And Nicobar Islands,Nicobar,2025-03,6698716,0,38
Andaman And Nicobar Islands,Nicobar,2025-04,1488603,0,8
Andaman And Nicobar Islands,Nicobar,2025-05,2232906,1,6
Andaman And Nicobar Islands,Nicobar,2025-06,2977204,0,7
Andaman And Nicobar Islands,Nicobar,2025-07,2232906,1,3
Andaman And Nicobar Islands,Nicobar,2025-08,3721510,1,29
Andaman And Nicobar Islands,Nicobar,2025-09,4465815,0,18
Andaman And Nicobar Islands,Nicobar,2025-10,2977204,0,12
Andaman And Nicobar Islands,Nicobar,2025-11,2977204,2,14
Andaman And Nicobar Islands,Nicobar,2025-12,8187327,5,16
Andaman And Nicobar Islands,Nicobar,NaT,46146727,13,165
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,17116709,60,861
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,11907270,0,58
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,13395674,3,82
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,8930442,1,40
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,5953626,0,22
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,6697832,2,32
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,8930449,2,26
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,5953621,0,42
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,8186251,4,40
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,3721011,1,40
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,16372492,3,54
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,11907287,0,61
Andaman And Nicobar Islands,North And Middle Andaman,NaT,132468413,36,539
Andaman And Nicobar Islands,South Andaman,2025-01,29765137,87,546
Andaman And Nicobar Islands,South Andaman,2025-02,22323968,24,87
Andaman And Nicobar Islands,South Andaman,2025-03,30509561,18,171
Andaman And Nicobar Islands,South Andaman,2025-04,17115019,12,103
Andaman And Nicobar Islands,South Andaman,2025-05,22323965,17,86
Andaman And Nicobar Islands,South Andaman,2025-06,10417758,8,52
Andaman And Nicobar Islands,South Andaman,2025-07,20091651,18,83
Andaman And Nicobar Islands,South Andaman,2025-08,11161865,10,48
Andaman And Nicobar Islands,South Andaman,2025-09,16370899,18,98
Andaman And Nicobar Islands,South Andaman,2025-10,20091751,8,105
