state,district,year_month,pincode,age_0_5,age_5_17,age_18_greater
100000,100000,2025-02,100000,0,0,3
100000,100000,2025-03,100000,0,0,1
100000,100000,2025-08,100000,0,0,1
100000,100000,2025-09,100000,0,0,1
100000,100000,2025-11,100000,0,0,2
100000,100000,2025-12,100000,0,0,2
100000,100000,NaT,1600000,0,1,207
Andaman & Nicobar Islands,Andamans,2025-01,2232315,2,1,0
Andaman & Nicobar Islands,Andamans,2025-02,744107,1,0,0
Andaman & Nicobar Islands,Andamans,2025-04,2232309,3,0,0
Andaman & Nicobar Islands,Andamans,2025-09,2976520,3,1,0
Andaman & Nicobar Islands,Andamans,2025-11,2232309,3,0,0
Andaman & Nicobar Islands,Andamans,2025-12,744107,1,0,0
Andaman & Nicobar Islands,Andamans,NaT,38693914,57,3,0
Andaman & Nicobar Islands,Nicobars,2025-03,744301,1,0,0
Andaman & Nicobar Islands,South Andaman,2025-01,2232415,3,0,0
Andaman & Nicobar Islands,South Andaman,2025-03,1488309,2,0,0
Andaman & Nicobar Islands,South Andaman,2025-04,1488313,2,0,0
Andaman & Nicobar Islands,South Andaman,2025-05,744206,2,0,0
Andaman & Nicobar Islands,South Andaman,2025-08,744107,1,0,0
Andaman & Nicobar Islands,South Andaman,2025-11,1488208,3,0,0
Andaman & Nicobar Islands,South Andaman,2025-12,744107,1,0,0
Andaman & Nicobar Islands,South Andaman,NaT,17114806,24,0,0
Andaman And Nicobar Islands,Nicobar,2025-01,1488605,10,2,0
Andaman And Nicobar Islands,Nicobar,2025-02,1488604,4,1,0
Andaman And Nicobar Islands,Nicobar,2025-03,744301,2,0,0
Andaman And Nicobar Islands,Nicobar,2025-04,744301,4,0,0
Andaman And Nicobar Islands,Nicobar,2025-08,744301,2,0,0
Andaman And Nicobar Islands,Nicobar,2025-09,744301,0,2,0
Andaman And Nicobar Islands,Nicobar,2025-10,2232905,7,0,0
Andaman And Nicobar Islands,Nicobar,2025-11,1488602,2,0,0
Andaman And Nicobar Islands,Nicobar,2025-12,744301,2,0,0
Andaman And Nicobar Islands,Nicobar,NaT,17863231,31,6,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2232608,4,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,2976812,4,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,2976813,6,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,2232611,3,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,744202,1,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,1488406,3,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,744202,1,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,1488404,5,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,2976819,7,1,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,2976821,6,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,3721024,5,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,1488406,3,0,0
Andaman And Nicobar Islands,North And Middle Andaman,NaT,47629074,80,3,0
Andaman And Nicobar Islands,South Andaman,2025-01,5208831,8,0,0
Andaman And Nicobar Islands,South Andaman,2025-02,1488203,2,0,0
Andaman And Nicobar Islands,South Andaman,2025-03,2232325,3,1,0
Andaman And Nicobar Islands,South Andaman,2025-04,2976621,4,1,0
Andaman And Nicobar Islands,South Andaman,2025-05,3720617,6,0,0
Andaman And Nicobar Islands,South Andaman,2025-07,1488206,3,0,0
Andaman And Nicobar Islands,South Andaman,2025-08,7441241,12,0,0
Andaman And Nicobar Islands,South Andaman,2025-09,1488205,3,0,0
Andaman And Nicobar Islands,South Andaman,2025-10,2976618,3,2,0
Andaman And Nicobar Islands,South Andaman,2025-11,2976409,5,0,0
Andaman And Nicobar Islands,South Andaman,2025-12,2232418,3,0,0
Andaman And Nicobar Islands,South Andaman,NaT,78877464,126,8,0
Andhra Pradesh,Adilabad,2025-01,16135513,38,12,0
Andhra Pradesh,Adilabad,2025-02,18656402,67,23,0
Andhra Pradesh,Adilabad,2025-03,16640371,51,10,0
Andhra Pradesh,Adilabad,2025-04,7059381,30,3,0
Andhra Pradesh,Adilabad,2025-05,12606572,28,5,0
Andhra Pradesh,Adilabad,2025-06,12101480,40,3,0
Andhra Pradesh,Adilabad,2025-07,5546547,16,1,0
Andhra Pradesh,Adilabad,2025-08,16640024,58,12,0
Andhra Pradesh,Adilabad,2025-09,15127266,34,8,0
Andhra Pradesh,Adilabad,2025-10,15127092,44,12,0
Andhra Pradesh,Adilabad,2025-11,13110661,35,6,0
Andhra Pradesh,Adilabad,2025-12,14119355,32,10,0
Andhra Pradesh,Adilabad,NaT,275820090,664,176,1
Andhra Pradesh,Alluri Sitharama Raju,2025-01,4786329,15,0,0
Andhra Pradesh,Alluri Sitharama Raju,2025-02,10079823,30,2,0
Andhra Pradesh,Alluri Sitharama Raju,2025-03,11118292,26,4,0
Andhra Pradesh,Alluri Sitharama Raju,2025-04,3693663,10,1,0
Andhra Pradesh,Alluri Sitharama Raju,2025-05,13201412,36,11,0
Andhra Pradesh,Alluri Sitharama Raju,2025-06,10055740,20,6,2
Andhra Pradesh,Alluri Sitharama Raju,2025-07,7367777,20,2,7
Andhra Pradesh,Alluri Sitharama Raju,2025-08,9500528,31,1,0
Andhra Pradesh,Alluri Sitharama Raju,2025-09,9015265,23,3,0
Andhra Pradesh,Alluri Sitharama Raju,2025-10,12661421,31,3,3
Andhra Pradesh,Alluri Sitharama Raju,2025-11,11118496,28,5,1
Andhra Pradesh,Alluri Sitharama Raju,2025-12,11651949,29,7,1
Andhra Pradesh,Alluri Sitharama Raju,NaT,278516705,806,71,20
Andhra Pradesh,Anakapalli,2025-01,4247573,13,0,0
Andhra Pradesh,Anakapalli,2025-02,6903635,16,0,0
Andhra Pradesh,Anakapalli,2025-03,7965725,17,1,0
Andhra Pradesh,Anakapalli,2025-04,3717341,8,0,0
Andhra Pradesh,Anakapalli,2025-05,3186304,6,0,0
Andhra Pradesh,Anakapalli,2025-06,5310488,14,0,0
Andhra Pradesh,Anakapalli,2025-07,2124416,5,0,0
Andhra Pradesh,Anakapalli,2025-08,6372612,12,0,0
Andhra Pradesh,Anakapalli,2025-09,6903766,16,0,0
Andhra Pradesh,Anakapalli,2025-10,6372619,13,0,1
Andhra Pradesh,Anakapalli,2025-11,6372992,13,0,0
Andhra Pradesh,Anakapalli,2025-12,4248588,8,0,0
Andhra Pradesh,Anakapalli,NaT,171526654,382,11,7
Andhra Pradesh,Anantapur,2025-01,31449072,95,9,0
Andhra Pradesh,Anantapur,2025-02,50005203,169,23,0
Andhra Pradesh,Anantapur,2025-03,41759001,126,15,0
Andhra Pradesh,Anantapur,2025-04,18558433,57,5,0
Andhra Pradesh,Anantapur,2025-05,31446622,106,3,0
Andhra Pradesh,Anantapur,2025-06,38665840,126,6,0
Andhra Pradesh,Anantapur,2025-07,23195924,68,4,0
Andhra Pradesh,Anantapur,2025-08,38664417,121,14,0
