state,district,year_month,enrol_activity,demo_activity,bio_activity,enrol_norm,demo_norm,bio_norm,isi_score
100000,100000,2025-02,100003,200002,14139195,6.364786641729534e-10,1.8699113815186288e-05,0.0035776763777980417,0.0014385500693495585
100000,100000,2025-03,100001,11161793,12649948,0.0,0.002297043145818974,0.003197893071146742,0.0021979744867862863
100000,100000,2025-08,100001,9673377,9673415,0.0,0.001987684601148769,0.002438826546187005,0.0017706044589343099
100000,100000,2025-09,100001,13393929,7441171,0.0,0.0027609795348835717,0.0018695663713654185,0.001852218362499596
100000,100000,2025-11,100002,14882372,12650221,3.1823933208986483e-10,0.003070343691345578,0.003197962690788558,0.002507322489205788
100000,100000,2025-12,100002,8185172,7441079,3.1823933208986483e-10,0.0016783699115922725,0.0018695429098011434,0.0014191650649095
100000,100000,NaT,1600208,5952946,4464632,0.00047742487367129303,0.001214414816555003,0.001110498316303664,0.0008344802784092081
Andaman & Nicobar Islands,Andamans,2025-01,2232318,8929380,10417696,0.0006785871378764068,0.0018330491839273749,0.002628630856189131,0.0016489545884713212
Andaman & Nicobar Islands,Andamans,2025-02,744108,6697052,10417632,0.0002049801814721539,0.001369072888787744,0.0026286145351009397,0.0015580789332610427
Andaman & Nicobar Islands,Andamans,2025-04,2232312,5952864,9673410,0.0006785852284404143,0.0012143977733354574,0.00243882527110199,0.0013255721720868963
Andaman & Nicobar Islands,Andamans,2025-09,2976524,8185276,11905928,0.000915422758251074,0.0016783915273829155,0.0030081553205823963,0.0016915341875359102
Andaman & Nicobar Islands,Andamans,2025-11,2232312,12650130,11905741,0.0006785852284404143,0.002606385270802056,0.003008107632402837,0.0021100801155938746
Andaman & Nicobar Islands,Andamans,2025-12,744108,13394323,142870533,0.0002049801814721539,0.0027610614254750462,0.03640635638540329,0.015625971088056908
Andaman & Nicobar Islands,Andamans,NaT,38693974,114593905,744302,0.0122821201900793,0.023794801595395994,0.00016175090957124848,0.007126196963971038
Andaman & Nicobar Islands,Nicobars,2025-03,744302,744302,744302,0.00020504191990257866,0.00013182867965161408,0.00016175090957124848,7.642345170862929e-05
Andaman & Nicobar Islands,South Andaman,2025-01,2232418,744302,5953049,0.0006786189618096154,0.00013182867965161408,0.0014900699588424823,0.0005130356630357155
Andaman & Nicobar Islands,South Andaman,2025-03,1488311,1488604,5209044,0.0004418148471288248,0.0002865274893359515,0.0013003360335331815,0.0005463824397218882
Andaman & Nicobar Islands,South Andaman,2025-04,1488315,5953051,6697064,0.00044181612008615314,0.0012144366401897868,0.0016798064343218127,0.001069334005787409
Andaman & Nicobar Islands,South Andaman,2025-05,744208,4464840,4464640,0.00020501200540536254,0.0009051207035684455,0.0011105003564396878,0.0007652460229221809
Andaman & Nicobar Islands,South Andaman,2025-08,744108,5208849,6697266,0.0002049801814721539,0.001059758614919529,0.0016798579477564166,0.0010548505887759477
Andaman & Nicobar Islands,South Andaman,2025-11,1488211,3720936,2976627,0.00044178302319561617,0.0007505046158521458,0.0007310317407700775,0.0005042579380097661
Andaman & Nicobar Islands,South Andaman,2025-12,744108,9673670,1488214,0.0002049801814721539,0.001987745499482023,0.00035146111829927116,0.0008946866108180869
Andaman & Nicobar Islands,South Andaman,NaT,17114830,2976527,6697267,0.005414787816523756,0.0005957835668447429,0.0016798582027734198,-0.00017270085545748612
Andaman And Nicobar Islands,Nicobar,2025-01,1488617,2976526,5209041,0.0004419122283644432,0.0005957833590006022,0.0013003352684821726,0.0006700650053202213
Andaman And Nicobar Islands,Nicobar,2025-02,1488609,5952848,6697270,0.0004419096824497865,0.0012143944478292046,0.0016798589678244287,0.0010693194297714962
Andaman And Nicobar Islands,Nicobar,2025-03,744303,2232421,5952960,0.00020504223814191074,0.00044112549461200186,0.001490047262329216,0.000731460655148105
Andaman And Nicobar Islands,Nicobar,2025-04,744305,7441465,4464652,0.00020504287462057492,0.0015237947691717098,0.0011105034166437237,0.0010127106994020586
Andaman And Nicobar Islands,Nicobar,2025-08,744303,11906201,78878235,0.00020504223814191074,0.002451763986982236,0.020087232335023908,0.008974590081174075
Andaman And Nicobar Islands,Nicobar,2025-09,744303,3720835,19352905,0.00020504223814191074,0.0007504836235939251,0.004907261076455113,0.0022220894323912326
Andaman And Nicobar Islands,Nicobar,2025-10,2232912,78877883,6698781,0.0006787761720396661,0.01637143569007852,0.001680244298515946,0.007084916761029852
Andaman And Nicobar Islands,Nicobar,2025-11,1488604,6699134,5210164,0.0004419080912531261,0.0013695056202888856,0.0013006216525765298,0.000979669290895541
Andaman And Nicobar Islands,Nicobar,2025-12,744303,4465844,5954477,0.00020504223814191074,0.0009053293790858069,0.0014904341231227515,0.0009172969532550413
Andaman And Nicobar Islands,Nicobar,NaT,17863268,6698754,5954457,0.005652970225751812,0.0013694266395153823,0.0014904290227826917,1.3348219768867e-05
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2232612,1488611,5210156,0.0006786807002400402,0.0002865289442449371,0.001300619612440506,0.0004991232826261692
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,2976816,2232913,2977220,0.0009155156841360432,0.0004412277539292745,0.0007311829658528503,0.0002858611510856413
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,2976819,2977211,7443071,0.0009155166388540394,0.0005959257322370489,0.0018700509036710987,0.0008032873265924512
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,2232614,2232910,5954458,0.0006786813367187043,0.00044122713039685215,0.0014904292777996946,0.0006369262959348778
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,744203,3721540,6698754,0.0002050104142087021,0.0007506301537131879,0.0016802374130568652,0.0009313449438662809
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,1488409,4465833,4465857,0.00044184603458336923,0.0009053270928002581,0.0011108107121323263,0.00071808591505636
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,744203,2977216,6698752,0.0002050104142087021,0.0005959267714577528,0.0016802369030228593,0.0008694633869505044
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,1488409,2977220,66987468,0.00044184603458336923,0.000595927602834316,0.017054884571435898,0.006971955662791412
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,2976827,8187348,32749199,0.0009155191847686962,0.0016788221804426493,0.008323543823503095,0.003817842564624558
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,2976827,46146905,16372667,0.0009155191847686962,0.009568493690185682,0.004147249713499299,0.005303193524520253
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,3721029,17117630,10418938,0.001152353532186035,0.0035349289698177475,0.002628947587306844,0.00223507991641263
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,1488409,11907328,8930527,0.00044184603458336923,0.0024519982273289156,0.0022493774748700438,0.00179218107396291
Andaman And Nicobar Islands,North And Middle Andaman,NaT,47629157,13395759,10418942,0.015125646860068766,0.0027613598896612324,0.002628948607374856,-0.0008690059731993175
Andaman And Nicobar Islands,South Andaman,2025-01,5208839,8930483,8186311,0.0016258331928574535,0.0018332784360146751,0.0020595897409731124,0.0012319806322236243
Andaman And Nicobar Islands,South Andaman,2025-02,1488205,5953648,7442086,0.00044178111375962366,0.0012145607231418432,0.001869799711923154,0.0011453879512740744
Andaman And Nicobar Islands,South Andaman,2025-03,2232329,6697866,8930523,0.0006785906385090597,0.0013692420739183535,0.002249376454802032,0.0013117292837863423
Andaman And Nicobar Islands,South Andaman,2025-04,2976626,8930477,10418969,0.0009154552186629468,0.0018332771889498305,0.002628955492833937,0.0016018020289809178
Andaman And Nicobar Islands,South Andaman,2025-05,3720623,5953663,9674760,0.001152224327017208,0.0012145638408039552,0.0024391695440560265,0.001231048488540551
Andaman And Nicobar Islands,South Andaman,2025-07,1488209,8186295,12651578,0.00044178238671695197,0.0016786033205623888,0.003198308748861615,0.0018624083504262111
Andaman And Nicobar Islands,South Andaman,2025-08,7441253,3721052,11907385,0.0023362751331577093,0.0007505287257724783,0.0030085268803557524,0.0010363672158197504
Andaman And Nicobar Islands,South Andaman,2025-09,1488208,16372549,139911654,0.0004417820684776199,0.0033800682495477284,0.03565179193061433,0.0155243876583693
Andaman And Nicobar Islands,South Andaman,2025-10,2976623,11907348,53583891,0.0009154542639449505,0.0024520023842117314,0.013636744535555145,0.006252407915117761
Andaman And Nicobar Islands,South Andaman,2025-11,2976414,132468988,21580175,0.0009153877519245445,0.02751003286322644,0.005475252796703829,0.0130110367135872
Andaman And Nicobar Islands,South Andaman,2025-12,2232421,29765770,20091710,0.0006786199165276117,0.006163770760812338,0.005095668913348867,0.004368051886358961
Andaman And Nicobar Islands,South Andaman,NaT,78877598,22324079,18603493,0.025070129852649024,0.004617058888832085,0.004716148274210647,-0.001280743105312712
Andhra Pradesh,Adilabad,2025-01,16135563,30509750,20835725,0.005103146540509535,0.006318402644683339,0.005285405388828198,0.003620893905302708
Andhra Pradesh,Adilabad,2025-02,18656492,17115134,14138525,0.005905405301706689,0.0035344101908423155,0.0035775055164060385,0.0016636852225580035
Andhra Pradesh,Adilabad,2025-03,16640432,22324068,10417952,0.005263815713860647,0.004617056602546536,0.0026286961405418965,0.0018455379544632439
Andhra Pradesh,Adilabad,2025-04,7059414,10417818,20835738,0.002214758944833183,0.0021424123011686775,0.0052854087040492366,0.002528176613120529
Andhra Pradesh,Adilabad,2025-05,12606605,20091752,19347769,0.003980093303628691,0.004153082801536594,0.004905951309127758,0.0028275949835400026
Andhra Pradesh,Adilabad,2025-06,12101523,11161923,15626885,0.003819356345299845,0.0022970701655572775,0.003957062622975687,0.0017377818463532166
Andhra Pradesh,Adilabad,2025-07,5546564,16371015,21580063,0.001733310571286322,0.003379749416635744,0.005475224234799494,0.0031953273463168307
Andhra Pradesh,Adilabad,2025-08,16640094,20091864,21580027,0.0052637081489664015,0.0041531060800803635,0.005475215054187387,0.00279858682391382
Andhra Pradesh,Adilabad,2025-09,15127308,27533391,270122679,0.0047822801427367945,0.005699783865621526,0.0688578172823223,0.028866584430630175
Andhra Pradesh,Adilabad,2025-10,15127148,22324317,145749122,0.0047822292244436605,0.004617108355737594,0.03714044552502221,0.015746575707415188
Andhra Pradesh,Adilabad,2025-11,13110702,304351177,71602855,0.004140516796215433,0.063234738754435,0.018231886731813206,0.0317585468352562
Andhra Pradesh,Adilabad,2025-12,14119397,89757915,60004444,0.004461523219294291,0.01863278659297479,0.01527409471915123,0.012670447880991548
Andhra Pradesh,Adilabad,NaT,275820931,79670444,65047027,0.08774524460543207,0.016536164850153634,0.016560039123137697,-0.00431056733176988
Andhra Pradesh,Alluri Sitharama Raju,2025-01,4786344,100847037,42860563,0.0014913786662476237,0.020937595627270544,0.010902113566920345,0.012437607944426832
Andhra Pradesh,Alluri Sitharama Raju,2025-02,10079855,62526887,66055525,0.0031759820712794623,0.012972976975264687,0.016817223260618734,0.011280883680097477
Andhra Pradesh,Alluri Sitharama Raju,2025-03,11118322,52440816,29245242,0.003506463115753196,0.010876646214240646,0.007429975210758554,0.006621355946849041
