state,district,year_month,enrol_activity,demo_activity,bio_activity,enrol_norm,demo_norm,bio_norm,isi_score,lifecycle_cluster
100000,100000,2025-02,100003,200002,14139195,6.364786641729533e-10,1.8699113815186288e-05,0.003577676377798,0.0014385500693495,0
100000,100000,2025-03,100001,11161793,12649948,0.0,0.0022970431458189,0.0031978930711467,0.0021979744867862,0
100000,100000,2025-08,100001,9673377,9673415,0.0,0.0019876846011487,0.002438826546187,0.0017706044589343,0
100000,100000,2025-09,100001,13393929,7441171,0.0,0.0027609795348835,0.0018695663713654,0.0018522183624995,0
100000,100000,2025-11,100002,14882372,12650221,3.1823933208986483e-10,0.0030703436913455,0.0031979626907885,0.0025073224892057,0
100000,100000,2025-12,100002,8185172,7441079,3.1823933208986483e-10,0.0016783699115922,0.0018695429098011,0.0014191650649095,0
100000,100000,NaT,1600208,5952946,4464632,0.0004774248736712,0.001214414816555,0.0011104983163036,0.0008344802784092,0
Andaman & Nicobar Islands,Andamans,2025-01,2232318,8929380,10417696,0.0006785871378764,0.0018330491839273,0.0026286308561891,0.0016489545884713,0
Andaman & Nicobar Islands,Andamans,2025-02,744108,6697052,10417632,0.0002049801814721,0.0013690728887877,0.0026286145351009,0.001558078933261,0
Andaman & Nicobar Islands,Andamans,2025-04,2232312,5952864,9673410,0.0006785852284404,0.0012143977733354,0.0024388252711019,0.0013255721720868,0
Andaman & Nicobar Islands,Andamans,2025-09,2976524,8185276,11905928,0.000915422758251,0.0016783915273829,0.0030081553205823,0.0016915341875359,0
Andaman & Nicobar Islands,Andamans,2025-11,2232312,12650130,11905741,0.0006785852284404,0.002606385270802,0.0030081076324028,0.0021100801155938,0
Andaman & Nicobar Islands,Andamans,2025-12,744108,13394323,142870533,0.0002049801814721,0.002761061425475,0.0364063563854032,0.0156259710880569,0
Andaman & Nicobar Islands,Andamans,NaT,38693974,114593905,744302,0.0122821201900793,0.0237948015953959,0.0001617509095712,0.007126196963971,0
Andaman & Nicobar Islands,Nicobars,2025-03,744302,744302,744302,0.0002050419199025,0.0001318286796516,0.0001617509095712,7.642345170862929e-05,0
Andaman & Nicobar Islands,South Andaman,2025-01,2232418,744302,5953049,0.0006786189618096,0.0001318286796516,0.0014900699588424,0.0005130356630357,0
Andaman & Nicobar Islands,South Andaman,2025-03,1488311,1488604,5209044,0.0004418148471288,0.0002865274893359,0.0013003360335331,0.0005463824397218,0
Andaman & Nicobar Islands,South Andaman,2025-04,1488315,5953051,6697064,0.0004418161200861,0.0012144366401897,0.0016798064343218,0.0010693340057874,0
Andaman & Nicobar Islands,South Andaman,2025-05,744208,4464840,4464640,0.0002050120054053,0.0009051207035684,0.0011105003564396,0.0007652460229221,0
Andaman & Nicobar Islands,South Andaman,2025-08,744108,5208849,6697266,0.0002049801814721,0.0010597586149195,0.0016798579477564,0.0010548505887759,0
Andaman & Nicobar Islands,South Andaman,2025-11,1488211,3720936,2976627,0.0004417830231956,0.0007505046158521,0.00073103174077,0.0005042579380097,0
Andaman & Nicobar Islands,South Andaman,2025-12,744108,9673670,1488214,0.0002049801814721,0.001987745499482,0.0003514611182992,0.000894686610818,0
Andaman & Nicobar Islands,South Andaman,NaT,17114830,2976527,6697267,0.0054147878165237,0.0005957835668447,0.0016798582027734,-0.0001727008554574,0
Andaman And Nicobar Islands,Nicobar,2025-01,1488617,2976526,5209041,0.0004419122283644,0.0005957833590006,0.0013003352684821,0.0006700650053202,0
Andaman And Nicobar Islands,Nicobar,2025-02,1488609,5952848,6697270,0.0004419096824497,0.0012143944478292,0.0016798589678244,0.0010693194297714,0
Andaman And Nicobar Islands,Nicobar,2025-03,744303,2232421,5952960,0.0002050422381419,0.000441125494612,0.0014900472623292,0.0007314606551481,0
Andaman And Nicobar Islands,Nicobar,2025-04,744305,7441465,4464652,0.0002050428746205,0.0015237947691717,0.0011105034166437,0.001012710699402,0
Andaman And Nicobar Islands,Nicobar,2025-08,744303,11906201,78878235,0.0002050422381419,0.0024517639869822,0.0200872323350239,0.008974590081174,0
Andaman And Nicobar Islands,Nicobar,2025-09,744303,3720835,19352905,0.0002050422381419,0.0007504836235939,0.0049072610764551,0.0022220894323912,0
Andaman And Nicobar Islands,Nicobar,2025-10,2232912,78877883,6698781,0.0006787761720396,0.0163714356900785,0.0016802442985159,0.0070849167610298,0
Andaman And Nicobar Islands,Nicobar,2025-11,1488604,6699134,5210164,0.0004419080912531,0.0013695056202888,0.0013006216525765,0.0009796692908955,0
Andaman And Nicobar Islands,Nicobar,2025-12,744303,4465844,5954477,0.0002050422381419,0.0009053293790858,0.0014904341231227,0.000917296953255,0
Andaman And Nicobar Islands,Nicobar,NaT,17863268,6698754,5954457,0.0056529702257518,0.0013694266395153,0.0014904290227826,1.3348219768867e-05,0
